yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2021,AL,CHA,CHW,C,1,162,81.0,93,69,Y,N,N,N,796,5357,1373,275,22,190,586,1389.0,57.0,20.0,78.0,39.0,636,581,3.73,4,13,43,4210,1205,182,485,1588,97,112,0.982,Chicago White Sox,Guaranteed Rate Field,1596385.0,101,100,CHW,CHA,CHA
2022,AL,CHA,CHW,C,2,162,81.0,81,81,N,N,N,N,686,5611,1435,272,9,149,388,1269.0,58.0,10.0,73.0,35.0,717,631,3.92,2,14,48,4343,1330,166,533,1450,102,122,0.982,Chicago White Sox,Guaranteed Rate Field,2009359.0,103,102,CHW,CHA,CHA
2023,AL,CHA,CHW,C,4,162,81.0,61,101,N,N,N,N,641,5501,1308,264,13,171,377,1424.0,86.0,22.0,52.0,29.0,841,774,4.87,2,7,28,4295,1372,214,654,1470,95,117,0.983,Chicago White Sox,Guaranteed Rate Field,1669628.0,103,104,CHW,CHA,CHA
2024,AL,CHA,CHW,C,5,162,81.0,41,121,N,N,N,N,507,5383,1187,226,9,133,395,1403.0,90.0,33.0,43.0,27.0,813,737,4.67,0,7,21,4260,1397,201,643,1366,90,115,0.984,Chicago White Sox,Guaranteed Rate Field,1380733.0,101,103,CHW,CHA,CHA
2021,NL,CIN,CIN,C,3,162,81.0,83,79,N,N,N,N,786,5423,1352,295,13,222,553,1425.0,36.0,24.0,105.0,45.0,760,702,4.4,1,8,41,4303,1330,206,617,1524,91,125,0.984,Cincinnati Reds,Great American Ball Park,1505024.0,113,113,CIN,CIN,CIN
2022,NL,CIN,CIN,C,4,162,81.0,62,100,N,N,N,N,648,5380,1264,235,18,156,452,1430.0,58.0,33.0,92.0,33.0,815,768,4.86,1,6,31,4270,1366,213,612,1414,81,115,0.986,Cincinnati Reds,Great American Ball Park,1395770.0,110,110,CIN,CIN,CIN
2023,NL,CIN,CIN,C,3,162,81.0,82,80,N,N,N,N,783,5499,1371,268,37,198,556,1500.0,190.0,48.0,92.0,29.0,821,772,4.83,0,6,53,4318,1426,222,613,1381,91,125,0.984,Cincinnati Reds,Great American Ballpark,2038302.0,103,104,CIN,CIN,CIN
2024,NL,CIN,CIN,C,4,162,81.0,77,85,N,N,N,N,699,5325,1230,257,29,174,496,1459.0,207.0,45.0,87.0,43.0,694,649,4.09,1,8,36,4284,1302,196,487,1370,96,100,0.983,Cincinnati Reds,Great American Ballpark,2024178.0,107,107,CIN,CIN,CIN
2021,AL,CLE,CLE,C,2,162,81.0,80,82,N,N,N,N,717,5332,1269,248,22,203,453,1387.0,109.0,17.0,64.0,36.0,727,679,4.34,0,9,39,4224,1281,216,522,1391,86,138,0.985,Cleveland Indians,Progressive Field,1114368.0,101,101,CLE,CLE,CLE
2022,AL,CLE,CLE,C,1,162,81.0,92,70,Y,N,N,N,698,5558,1410,273,31,127,450,1122.0,119.0,27.0,81.0,52.0,634,560,3.46,1,8,51,4368,1252,172,435,1390,97,127,0.984,Cleveland Guardians,Progressive Field,1295870.0,98,98,CLE,CLE,CLE
2023,AL,CLE,CLE,C,3,162,81.0,76,86,N,N,N,N,662,5513,1379,294,29,124,471,1142.0,151.0,36.0,55.0,44.0,697,635,3.96,1,13,47,4332,1352,173,534,1311,83,119,0.986,Cleveland Guardians,Progressive Field,1834068.0,97,97,CLE,CLE,CLE
2024,AL,CLE,CLE,C,1,161,80.0,92,69,Y,N,N,N,708,5310,1263,245,18,185,466,1196.0,148.0,46.0,87.0,43.0,621,572,3.61,0,12,53,4284,1224,179,492,1410,87,130,0.985,Cleveland Guardians,Progressive Field,2056264.0,101,100,CLE,CLE,CLE
2021,NL,COL,COL,W,4,161,81.0,74,87,N,N,N,N,739,5374,1338,275,34,182,491,1356.0,76.0,23.0,58.0,36.0,796,748,4.82,3,6,33,4191,1397,196,539,1269,73,140,0.987,Colorado Rockies,Coors Field,1938645.0,112,113,COL,COL,COL
2022,NL,COL,COL,W,5,162,81.0,68,94,N,N,N,N,698,5540,1408,280,34,149,453,1330.0,45.0,20.0,61.0,40.0,873,802,5.06,1,6,43,4276,1516,184,539,1187,100,154,0.983,Colorado Rockies,Coors Field,2597428.0,113,115,COL,COL,COL
2023,NL,COL,COL,W,5,162,81.0,59,103,N,N,N,N,721,5496,1368,305,31,163,447,1543.0,76.0,25.0,59.0,41.0,957,891,5.67,0,6,32,4242,1599,234,586,1129,81,169,0.986,Colorado Rockies,Coors Field,2607935.0,113,115,COL,COL,COL
2024,NL,COL,COL,W,5,162,81.0,61,101,N,N,N,N,682,5454,1319,277,25,179,453,1617.0,85.0,31.0,51.0,45.0,929,869,5.48,0,1,37,4280,1604,221,563,1118,82,164,0.986,Colorado Rockies,Coors Field,2540195.0,110,113,COL,COL,COL
2021,AL,DET,DET,C,3,162,81.0,77,85,N,N,N,N,697,5376,1299,236,37,179,490,1514.0,88.0,25.0,44.0,50.0,756,681,4.32,2,7,42,4259,1370,199,571,1259,83,136,0.986,Detroit Tigers,Comerica Park,1102621.0,96,98,DET,DET,DET
2022,AL,DET,DET,C,4,162,82.0,66,96,N,N,N,N,557,5378,1240,235,27,110,380,1413.0,47.0,24.0,58.0,44.0,713,637,4.04,0,8,38,4259,1336,167,511,1195,94,137,0.984,Detroit Tigers,Comerica Park,1575544.0,96,97,DET,DET,DET
2023,AL,DET,DET,C,2,162,81.0,78,84,N,N,N,N,661,5478,1292,245,29,165,508,1473.0,85.0,23.0,49.0,31.0,740,680,4.24,0,15,41,4327,1320,187,476,1374,100,129,0.983,Detroit Tigers,Comerica Park,1612876.0,102,103,DET,DET,DET
2024,AL,DET,DET,C,3,162,81.0,86,76,N,Y,N,N,682,5442,1273,244,47,162,476,1461.0,76.0,24.0,52.0,41.0,642,583,3.63,1,10,45,4341,1265,159,416,1354,80,129,0.986,Detroit Tigers,Comerica Park,1858295.0,101,100,DET,DET,DET
2021,NL,MIA,FLA,E,4,162,81.0,67,95,N,N,N,N,623,5348,1244,226,23,158,450,1553.0,106.0,29.0,65.0,30.0,701,622,3.96,1,8,33,4245,1282,162,529,1381,122,146,0.979,Miami Marlins,loanDepot park,642617.0,98,99,MIA,FLO,MIA
2022,NL,MIA,FLA,E,4,162,81.0,69,93,N,N,N,N,586,5395,1241,248,20,144,436,1429.0,122.0,29.0,70.0,36.0,676,617,3.86,6,10,41,4312,1311,173,511,1437,69,143,0.988,Miami Marlins,loanDepot park,907487.0,99,100,MIA,FLO,MIA
2023,NL,MIA,FLA,E,3,162,81.0,84,78,N,Y,N,N,666,5497,1423,258,23,166,430,1287.0,86.0,21.0,50.0,38.0,723,672,4.21,3,9,43,4306,1340,191,514,1490,98,144,0.983,Miami Marlins,loanDepot park,1162819.0,101,102,MIA,FLO,MIA
2024,NL,MIA,FLA,E,5,162,81.0,62,100,N,N,N,N,637,5522,1347,243,23,150,403,1410.0,125.0,43.0,55.0,41.0,841,758,4.75,1,7,33,4312,1431,195,556,1317,117,123,0.98,Miami Marlins,loanDepot park,1087455.0,104,105,MIA,FLO,MIA
2021,AL,HOU,HOU,W,1,162,81.0,95,67,Y,N,Y,N,863,5593,1496,299,14,221,569,1222.0,53.0,16.0,64.0,54.0,658,607,3.78,2,8,34,4335,1231,187,549,1456,69,126,0.988,Houston Astros,Minute Maid Park,2068509.0,101,99,HOU,HOU,HOU
2022,AL,HOU,HOU,W,1,162,81.0,106,56,Y,N,Y,Y,737,5409,1341,284,13,214,528,1179.0,83.0,22.0,60.0,42.0,518,465,2.9,3,18,53,4336,1121,134,458,1524,72,122,0.987,Houston Astros,Minute Maid Park,2688998.0,101,99,HOU,HOU,HOU
2023,AL,HOU,HOU,W,1,162,81.0,90,72,Y,N,N,N,827,5567,1441,280,22,222,550,1241.0,107.0,32.0,72.0,40.0,698,632,3.94,2,7,42,4336,1312,201,537,1460,81,144,0.986,Houston Astros,Minute Maid Park,3052347.0,100,98,HOU,HOU,HOU
2024,AL,HOU,HOU,W,1,161,81.0,88,73,Y,N,N,N,740,5530,1448,264,16,190,448,1176.0,93.0,24.0,67.0,46.0,649,597,3.75,2,11,43,4296,1238,183,544,1479,84,130,0.985,Houston Astros,Minute Maid Park,2835234.0,101,100,HOU,HOU,HOU
2021,AL,KCA,KCR,C,4,162,81.0,74,88,N,N,N,N,686,5427,1349,251,29,163,421,1258.0,124.0,33.0,55.0,52.0,788,731,4.64,1,7,37,4252,1375,189,591,1344,84,152,0.985,Kansas City Royals,Kauffman Stadium,1159613.0,105,106,KCR,KCA,KCA
2022,AL,KCA,KCR,C,5,162,81.0,65,97,N,N,N,N,640,5437,1327,247,38,138,460,1287.0,104.0,34.0,48.0,44.0,810,740,4.7,0,9,33,4248,1493,173,589,1191,82,153,0.986,Kansas City Royals,Kauffman Stadium,1277686.0,103,105,KCR,KCA,KCA
2023,AL,KCA,KCR,C,5,162,81.0,56,106,N,N,N,N,676,5428,1325,258,43,163,411,1396.0,163.0,47.0,71.0,58.0,859,809,5.17,3,6,28,4227,1429,207,553,1270,80,123,0.986,Kansas City Royals,Kauffman Stadium,1307052.0,101,103,KCR,KCA,KCA
2024,AL,KCA,KCR,C,2,162,81.0,86,76,N,Y,N,N,735,5421,1343,264,35,170,429,1161.0,134.0,31.0,52.0,54.0,644,596,3.76,2,11,41,4284,1303,146,472,1339,85,125,0.985,Kansas City Royals,Kauffman Stadium,1658347.0,102,103,KCR,KCA,KCA
2021,NL,LAN,LAD,W,2,162,81.0,106,56,N,Y,N,N,830,5445,1330,247,24,237,613,1408.0,65.0,17.0,104.0,45.0,561,486,3.01,1,17,56,4356,1107,161,486,1599,89,94,0.985,Los Angeles Dodgers,Dodger Stadium,2804693.0,100,97,LAD,LAN,LAN
2022,NL,LAN,LAD,W,1,162,81.0,111,51,Y,N,N,N,847,5526,1418,325,31,212,607,1374.0,98.0,18.0,56.0,53.0,513,451,2.8,1,15,43,4354,1114,152,407,1465,83,120,0.986,Los Angeles Dodgers,Dodger Stadium,3861408.0,106,103,LAD,LAN,LAN
2023,NL,LAN,LAD,W,1,162,81.0,100,62,Y,N,N,N,906,5524,1422,303,20,249,644,1359.0,105.0,25.0,85.0,69.0,699,652,4.06,0,15,44,4339,1284,200,454,1388,76,139,0.987,Los Angeles Dodgers,Dodger Stadium,3837079.0,102,99,LAD,LAN,LAN
2024,NL,LAN,LAD,W,1,162,81.0,98,64,Y,N,Y,Y,842,5522,1423,291,26,233,602,1336.0,136.0,23.0,64.0,51.0,686,629,3.92,1,13,50,4337,1273,198,501,1390,88,119,0.985,Los Angeles Dodgers,Dodger Stadium,3941251.0,96,95,LAD,LAN,LAN
2021,NL,MIL,MIL,C,1,162,81.0,95,67,Y,N,N,N,738,5362,1251,255,18,194,586,1465.0,82.0,21.0,88.0,35.0,623,558,3.5,2,19,44,4308,1156,168,537,1618,94,102,0.984,Milwaukee Brewers,American Family Field,1824282.0,101,101,MIL,ML4,MIL
2022,NL,MIL,MIL,C,2,162,81.0,86,76,N,N,N,N,725,5417,1271,251,17,219,577,1464.0,96.0,30.0,80.0,37.0,688,615,3.83,0,11,52,4338,1238,190,521,1530,91,122,0.984,Milwaukee Brewers,American Family Field,2422420.0,98,97,MIL,ML4,MIL
2023,NL,MIL,MIL,C,1,162,81.0,92,70,Y,N,N,N,728,5386,1290,257,16,165,591,1412.0,129.0,28.0,58.0,39.0,647,595,3.71,1,16,46,4329,1218,198,493,1425,77,117,0.987,Milwaukee Brewers,American Family Field,2551347.0,98,98,MIL,ML4,MIL
2024,NL,MIL,MIL,C,1,162,81.0,93,69,Y,N,N,N,777,5472,1359,249,33,177,597,1459.0,217.0,42.0,46.0,34.0,641,586,3.65,0,14,53,4338,1289,196,494,1373,89,113,0.985,Milwaukee Brewers,American Family Field,2537202.0,99,98,MIL,ML4,MIL
2021,AL,MIN,MIN,C,5,162,81.0,73,89,N,N,N,N,729,5431,1311,271,17,228,525,1405.0,54.0,15.0,70.0,42.0,834,762,4.83,1,9,42,4258,1392,239,484,1317,107,139,0.982,Minnesota Twins,Target Field,1310199.0,98,98,MIN,MIN,MIN
2022,AL,MIN,MIN,C,3,162,81.0,78,84,N,N,N,N,696,5476,1356,269,18,178,518,1353.0,38.0,17.0,62.0,46.0,684,636,3.98,0,17,28,4311,1320,184,468,1336,83,121,0.985,Minnesota Twins,Target Field,1801128.0,98,99,MIN,MIN,MIN
2023,AL,MIN,MIN,C,1,162,81.0,87,75,Y,N,N,N,778,5489,1336,264,24,233,594,1654.0,86.0,18.0,92.0,32.0,659,624,3.87,2,12,38,4354,1294,194,443,1560,66,116,0.988,Minnesota Twins,Target Field,1974124.0,101,100,MIN,MIN,MIN
2024,AL,MIN,MIN,C,4,162,81.0,82,80,N,N,N,N,742,5490,1352,309,23,183,473,1306.0,65.0,23.0,101.0,47.0,735,682,4.26,1,8,43,4321,1333,190,433,1500,70,75,0.988,Minnesota Twins,Target Field,1951616.0,104,104,MIN,MIN,MIN
2021,NL,NYN,NYM,E,3,162,81.0,77,85,N,N,N,N,636,5210,1243,228,18,176,495,1392.0,54.0,26.0,94.0,23.0,668,597,3.9,2,8,41,4138,1221,190,475,1453,95,121,0.983,New York Mets,Citi Field,1511926.0,95,95,NYM,NYN,NYN
2022,NL,NYN,NYM,E,2,162,81.0,101,61,N,Y,N,N,772,5489,1422,272,27,171,510,1217.0,62.0,22.0,112.0,44.0,606,570,3.57,0,19,41,4316,1274,169,428,1565,67,128,0.988,New York Mets,Citi Field,2564737.0,96,95,NYM,NYN,NYN
2023,NL,NYN,NYM,E,4,162,81.0,75,87,N,N,N,N,717,5363,1276,221,21,215,525,1331.0,118.0,15.0,107.0,38.0,729,676,4.3,1,7,34,4249,1331,190,595,1397,88,142,0.985,New York Mets,Citi Field,2573555.0,97,96,NYM,NYN,NYN
2024,NL,NYN,NYM,E,3,162,81.0,89,73,N,Y,N,N,768,5510,1357,279,15,207,514,1382.0,106.0,22.0,92.0,36.0,697,634,3.96,1,9,39,4327,1232,165,586,1455,94,127,0.984,New York Mets,Citi Field,2329299.0,94,93,NYM,NYN,NYN
2021,AL,NYA,NYY,E,2,162,81.0,92,70,N,Y,N,N,711,5331,1266,213,12,222,621,1482.0,63.0,18.0,63.0,34.0,669,596,3.74,3,13,47,4306,1243,196,492,1569,98,115,0.983,New York Yankees,Yankee Stadium III,1959854.0,100,99,NYY,NYA,NYA
2022,AL,NYA,NYY,E,1,162,81.0,99,63,Y,N,N,N,807,5422,1308,225,8,254,620,1391.0,102.0,33.0,70.0,41.0,567,532,3.3,1,16,47,4355,1177,157,444,1459,74,102,0.987,New York Yankees,Yankee Stadium III,3136207.0,101,100,NYY,NYA,NYA
2023,AL,NYA,NYY,E,4,162,81.0,82,80,N,N,N,N,673,5323,1207,221,15,219,557,1427.0,100.0,30.0,47.0,36.0,698,635,3.97,3,8,44,4319,1272,195,508,1439,96,113,0.984,New York Yankees,Yankee Stadium II,3269016.0,102,101,NYY,NYA,NYA
2024,AL,NYA,NYY,E,1,162,81.0,94,68,Y,N,Y,N,815,5450,1352,243,15,237,672,1326.0,88.0,26.0,49.0,57.0,668,607,3.76,0,14,45,4358,1272,181,533,1457,93,112,0.984,New York Yankees,Yankee Stadium II,3309838.0,102,101,NYY,NYA,NYA
2021,AL,OAK,OAK,W,3,162,81.0,86,76,N,N,N,N,743,5395,1284,271,19,199,545,1349.0,88.0,20.0,98.0,49.0,687,640,4.02,3,11,39,4299,1362,191,439,1332,72,116,0.987,Oakland Athletics,O.co Coliseum,701430.0,95,94,OAK,OAK,OAK
2022,AL,OAK,OAK,W,5,162,80.0,60,102,N,N,N,N,568,5314,1147,249,15,137,433,1389.0,78.0,23.0,59.0,33.0,770,717,4.52,0,7,34,4279,1394,195,503,1203,92,139,0.984,Oakland Athletics,O.co Coliseum,787902.0,96,96,OAK,OAK,OAK
2023,AL,OAK,OAK,W,5,162,81.0,50,112,N,N,N,N,585,5311,1187,225,21,171,498,1496.0,149.0,31.0,85.0,36.0,924,865,5.48,0,5,29,4259,1464,213,694,1300,102,124,0.982,Oakland Athletics,Oakland-Alameda County Coliseum,832352.0,92,95,OAK,OAK,OAK
2024,AL,OAK,OAK,W,4,162,81.0,69,93,N,N,N,N,643,5432,1267,240,19,196,493,1502.0,98.0,26.0,53.0,37.0,764,698,4.37,1,12,35,4310,1385,169,530,1263,84,142,0.985,Oakland Athletics,Oakland-Alameda County Coliseum,922286.0,96,98,OAK,OAK,OAK
2021,NL,PHI,PHI,E,2,162,81.0,82,80,N,N,N,N,734,5366,1288,262,24,198,564,1402.0,77.0,19.0,67.0,43.0,745,692,4.39,5,12,36,4256,1321,200,509,1480,94,142,0.984,Philadelphia Phillies,Citizens Bank Park,1515890.0,99,99,PHI,PHI,PHI
2022,NL,PHI,PHI,E,3,162,81.0,87,75,N,Y,Y,N,747,5496,1392,255,29,205,478,1363.0,105.0,28.0,52.0,44.0,685,630,3.97,3,15,42,4285,1330,150,463,1423,69,129,0.988,Philadelphia Phillies,Citizens Bank Park,2276736.0,100,100,PHI,PHI,PHI
2023,NL,PHI,PHI,E,2,162,81.0,90,72,N,Y,N,N,796,5541,1417,291,29,220,539,1481.0,141.0,26.0,69.0,42.0,715,646,4.03,1,4,45,4327,1318,185,470,1454,91,117,0.984,Philadelphia Phillies,Citizens Bank Park,3052605.0,98,98,PHI,PHI,PHI
2024,NL,PHI,PHI,E,1,162,81.0,95,67,Y,N,N,N,784,5534,1423,285,24,198,515,1370.0,148.0,30.0,62.0,40.0,671,618,3.86,5,14,37,4328,1339,181,444,1433,85,120,0.986,Philadelphia Phillies,Citizens Bank Park,3363712.0,102,102,PHI,PHI,PHI
2021,NL,PIT,PIT,C,5,162,81.0,61,101,N,N,N,N,609,5336,1261,240,35,124,529,1328.0,60.0,30.0,49.0,37.0,833,788,5.08,0,6,25,4189,1400,213,606,1312,70,139,0.988,Pittsburgh Pirates,PNC Park,859498.0,98,100,PIT,PIT,PIT
2022,NL,PIT,PIT,C,5,162,81.0,62,100,N,N,N,N,591,5331,1186,221,29,158,476,1497.0,89.0,32.0,54.0,32.0,817,735,4.66,0,6,33,4263,1432,164,586,1250,121,152,0.979,Pittsburgh Pirates,PNC Park,1257458.0,100,102,PIT,PIT,PIT
2023,NL,PIT,PIT,C,4,162,81.0,76,86,N,N,N,N,692,5406,1293,287,31,159,556,1464.0,117.0,41.0,58.0,43.0,790,731,4.6,2,10,47,4290,1380,179,596,1363,91,135,0.984,Pittsburgh Pirates,PNC Park,1630624.0,99,101,PIT,PIT,PIT
2024,NL,PIT,PIT,C,5,162,81.0,76,86,N,N,N,N,665,5477,1283,236,17,160,485,1506.0,106.0,19.0,60.0,47.0,739,667,4.17,1,12,43,4316,1369,166,515,1356,91,139,0.984,Pittsburgh Pirates,PNC Park,1720361.0,101,102,PIT,PIT,PIT
2021,NL,SDN,SDP,W,3,162,81.0,79,83,N,N,N,N,729,5384,1305,273,21,180,586,1324.0,110.0,39.0,61.0,46.0,708,651,4.1,2,11,43,4290,1277,205,516,1517,82,139,0.986,San Diego Padres,Petco Park,2191950.0,92,92,SDP,SDN,SDN
2022,NL,SDN,SDP,W,2,162,81.0,89,73,N,Y,N,N,705,5468,1317,275,18,153,574,1327.0,49.0,22.0,65.0,46.0,660,611,3.81,0,15,48,4330,1263,173,468,1451,76,116,0.987,San Diego Padres,Petco Park,2987470.0,92,92,SDP,SDN,SDN
2023,NL,SDN,SDP,W,3,162,81.0,82,80,N,N,N,N,752,5401,1316,273,14,205,653,1311.0,137.0,32.0,57.0,44.0,648,598,3.73,0,16,36,4323,1270,174,557,1445,73,130,0.988,San Diego Padres,PETCO Park,3271554.0,94,93,SDP,SDN,SDN
2024,NL,SDN,SDP,W,2,162,81.0,93,69,N,Y,N,N,760,5526,1456,259,18,190,458,1077.0,120.0,28.0,56.0,31.0,669,617,3.86,1,16,44,4318,1296,169,462,1453,75,116,0.987,San Diego Padres,PETCO Park,3330545.0,100,99,SDP,SDN,SDN
